id,unit,variant,english,english_alt_response,variant_text,variant_alt_response,audioKey,Filled or not,context_badge,extra_yes_or_no,extra_details,link
u01_w0018,u01,lf,Mr. and Mrs. Boudreaux,,Monsieur et Madame Boudreaux,"""M. et Mme Boudreaux""",u01_w0018_lf,,,,,
u01_w0019,u01,lf,"Hello, Mr. Boudreaux!",,"Bonjour, Monsieur Boudreaux!","""Bonjour, M. Boudreaux!""",u01_w0019_lf,,,Y,"In writing, Monsieur can be shorterned to M.",
u01_w0020,u01,lf,"Thanks, Mrs. Boudreaux!","""Thank you, Mrs. Boudreaux!""","Merci, Madame Boudreaux!","""Merci, Mme Boudreaux!""",u01_w0020_lf,,,Y,"In writing, Madame can be shortened to Mme (no period)",
u01_w0021,u01,lf,please,,s’il vous plait,,u01_w0021_lf,,,,,
u01_w0022,u01,lf,Thank you very much!,,Merci beaucoup!,,u01_w0022_lf,,,,,
u01_w0023,u01,lf,You’re welcome!,,Pas de quoi!,"""De rien!""",u01_w0023_lf,,,Y,You may also hear: De rien!,
u01_w0024,u01,lf,Take care!,,Soigne-toi!,,u01_w0024_lf,,,,,
u01_w0025,u01,lf,Y’all take care!,,Soignez-vous-autres!,,u01_w0025_lf,,,,,
u01_w0026,u01,lf,Goodbye!,,Au revoir!,"""On va se revoir!""",u01_w0026_lf,,,,,
u01_w0027,u01,lf,Goodbye!,,On va se revoir!,"""Au revoir!""",u01_w0027_lf,,,,,
u01_w0028,u01,lf,See you tomorrow!,,À demain!,,u01_w0028_lf,,,,,
u01_w0029,u01,lf,See you soon!,,À bientôt!,,u01_w0029_lf,,,,,
u01_w0030,u01,lf,See you later!,,À plus tard!,,u01_w0030_lf,,,,,
u02_w0001,u02,lf,a name,,un nom,,,,,,,
u02_w0002,u02,lf,My name is…,,Mon nom c’est…,"""Je m'appelle...""",u02_w0002_lf,,,,,
u02_w0003,u02,lf,My name is…,,Je m’appelle…,"""Mon nom c'est...""",u02_w0003_lf,,,Y,"Literally: ""I call myself..."" but interchangeable with *Mon nom c'est*",
u02_w0004,u02,lf,What’s your name?,,Quoi c’est ton nom?,,u02_w0004_lf,,,,,
u02_w0005,u02,lf,a last name,,un dernier nom,"""un nom de famille""",u02_w0005_lf,,,Y,You may also hear: *un nom de famille*,
u02_w0006,u02,lf,a first name,,un premier nom,,u02_w0006_lf,,,,,
u02_w0007,u02,lf,Who’s that?,,Qui c’est ça?,,u02_w0007_lf,,,,,
u02_w0008,u02,lf,What’s his/her name?,,Quoi c’est son nom?,,,u02_w0008_lf,,,,
u02_w0009,u02,lf,That’s my cousin.,,Ça c'est mon cousin.,,u02_w0009_lf,,,,"In La., *c'est* and *ça c'est* are pretty interchangeable.",
u02_w0010,u02,lf,His name is Louis.,,Son nom c’est Louis.,"""Il s'appelle Louis.""",u02_w0010_lf,,,Y,You may also hear: *Il s'appelle Louis.*,
u02_w0011,u02,lf,My nickname is…,,Mon 'tit nom c’est…,,u02_w0011_lf,,,,,
u02_w0012,u02,lf,I live in Eunice,,Je reste à Eunice.,"""J'habite à Eunice.""",u02_w0012_lf,,,Y,You may also hear: *J'habite à Eunice.*,
u02_w0013,u02,lf,I live in Lafayette.,,Je reste à Lafayette.,"""J'habite à Lafayette.""",u02_w0013_lf,,,Y,You may also hear: *J'habite à Lafayette.*,
u02_w0014,u02,lf,I come from…,,Je viens de…,"""Je deviens de...""", u02_w0014_lf,,,Y,You may also hear: *Je deviens de...*,
u02_w0015,u02,lf,My family comes from…,,Ma famille vient de…,"""Ma famille devient de...""",u02_w0015_lf,,,,,
u02_w0016,u02,lf,Iberia Parish,,la paroisse Ibérie,"""la paroisse d'Ibérie""",u02_w0016_lf,,,Y,You may also hear: *la paroisse d'Ibérie*,
u02_w0017,u02,lf,Saint James Parish,,la paroisse Saint-Jacques,"""la paroisse de Saint-Jacques""",u02_w0017_lf,,,Y,You may also hear: *la paroisse de Saint-Jacques*,
u02_w0018,u02,lf,Vermilion Parish,,la paroisse Vermilion,"""la paroisse de Vermilion""",,u02_w0018_lf,,Y,You may also hear: *la paroisse de Vermilion*,
u02_w0019,u02,lf,my mother,,ma mère,,u02_w0019_lf,,,,,
u02_w0020,u02,lf,my father,,mon père,,u02_w0020_lf,,,,,
u02_w0021,u02,lf,my grandfather,,mon grand-père,,u02_w0021_lf,,,,,
u02_w0022,u02,lf,my grandmother,,ma grand-mère,,,u02_w0022_lf,,,,
u02_w0023,u02,lf,to speak,"""to talk""",parler,,u02_w0023_lf,,,Y,Also means: to talk,
u02_w0024,u02,lf,I speak French.,,Je parle français.,,,u02_w0024_lf,,Y,You may also hear: ...parle le français.,
u02_w0025,u02,lf,My grandmother speaks French.,,Ma grand-mère parle français.,,,u02_w0025_lf,,,,
u02_w0026,u02,lf,My family speaks French and English.,,Ma famille parle français et anglais.,,u02_w0026_lf,,,,,
u02_w0027,u02,lf,My family spoke French.,,Ma famille parlait français.,,,u02_w0027_lf,,,,
u02_w0028,u02,lf,My mother spoke French.,,Ma mère parlait français.,,u02_w0028_lf,,,,,
u02_w0029,u02,lf,My grandfather didn’t speak English.,,Mon grand-père parlait pas anglais.,,u02_w0029_lf,,,Y,You may also hear: ...parlait pas l'anglais.,
u02_w0030,u02,lf,My mother doesn’t speak French.,,Ma mère parle pas français.,,u02_w0030_lf,,,,,
u03_w0001,u03,lf,to be,,être,,,u03_w0001_lf,,Y,"""To __"": this is the infinitive form. It's how you find verbs in the dictionary.",
u03_w0002,u03,lf,I am,,j’sus,"""je sus""",u03_w0001_cajun,u03_w0002_lf,,Y,Notice: je (I) is not automatically capitalized in French.,
u03_w0003,u03,lf,you are,,t’es,,u03_w0003_lf,,,,,
u03_w0004,u03,lf,it/that,"""that/it""",ça,,u03_w0004_lf,,,,,
u03_w0005,u03,lf,it is,"""that is""",c’est,"""ça c'est""",u03_w0005_lf,,,,,
u03_w0006,u03,lf,What is that?,"""What is it?""",Quoi c’est ça?,,u03_w0006_lf,,,,,
u03_w0007,u03,lf,It’s a book.,"""That's a book.""",C’est un livre.,,u03_w0007_lf,,,,,
u03_w0008,u03,lf,That’s my new car.,"""It's my new car.""",C’est mon nouveau char.,,u03_w0008_lf,,,,,
u03_w0009,u03,lf,It’s a newspaper.,"""That's a newspaper.""",C’est une gazette.,,u03_w0009_lf,,,,,
u03_w0010,u03,lf,It's sad.,"""That's sad.""",C'est triste.,,u03_w0010_lf,,,,,
u03_w0011,u03,lf,Are you free?,,T’es libre?,,u03_w0011_lf,,,,,
u03_w0012,u03,lf,I’m free Saturday.,,J’sus libre samedi.,,u03_w0012_lf,  ,,,,
u03_w0013,u03,lf,he is,,il est,,u03_w0013_lf,,,,,
u03_w0014,u03,lf,she is,,elle est,,u03_w0014_lf,,,,,
u03_w0015,u03,lf,He is handsome.,,Il est beau.,,u03_w0015_lf,,,Y,Adjectives change to match the gender of the noun.,
u03_w0016,u03,lf,She is beautiful.,,Elle est belle.,,u03_w0016_lf,,,,,
u03_w0017,u03,lf,glad,"""happy""","content, contente",,u03_w0017_lf,u03_w0017_lf,"masc., fem",Y,"Sometimes, you just add an ""e"" for feminine adjectives.",
u03_w0018,u03,lf,He is glad to be here.,,Il est content d’être ici.,"""Il est content d’être icitte.""",u03_w0018_lf,,,Y,You may also hear: icitte rather than ici,
u03_w0019,u03,lf,She is glad to be here.,,Elle est contente d’être ici,"""Elle est contente d'être icitte.""",u03_w0019_lf,,,,,
u03_w0020,u03,lf,nervous,,"nerveux, nerveuse",,u03_w0020_lf, ,"masc., fem.",Y,"Sometimes, the whole ending changes to match the noun's gender.",
u03_w0021,u03,lf,He is nervous,,Il est nerveux.,,u03_w0021_lf,,,,,
u03_w0022,u03,lf,She is nervous,,Elle est nerveuse.,,u03_w0022_lf,,,,,
u03_w0023,u03,lf,we are,,on est,,u03_w0023_lf,,,,,
u03_w0024,u03,lf,y’all are,,vous-autres est,,u03_w0024_lf,,,,,
u03_w0025,u03,lf,Are y’all brother and sister?,,Vous-autres est frère et sœur?,,u03_w0025_lf,,,,,
u03_w0026,u03,lf,We’re cousins.,,On est cousins.,,u03_w0026_lf,,,,,
u03_w0027,u03,lf,ready,,paré,,u03_w0027_lf,,,Y,If describing something/someone feminine: parée,
u03_w0028,u03,lf,She’s ready.,,Elle est parée.,,u03_w0028_lf,,,,,
u03_w0029,u03,lf,Are y’all ready?,,Vous-autres est parés?,,u03_w0029_lf,,,Y,Adjectives also match the noun in number: singular vs. plural,
u03_w0030,u03,lf,We are happy to be together.,,On est contents d’être ensemble.,,,u03_w0030_lf,,,,
u04_w0001,u04,lf,to have,,avoir,,u04_w0001_lf,,,,,
u04_w0002,u04,lf,I have,,j’ai,,u04_w0002_lf,,,,,
u04_w0003,u04,lf,we have,,on a,,u03_w0029_cajun,u04_w0003_lf,,,,
u04_w0004,u04,lf,you have,,t’as,,u03_w0008_cajun,u04_w0004_lf,,,,
u04_w0005,u04,lf,she has,,elle a,,u04_w0005_lf,,,,,
u04_w0006,u04,lf,I have three brothers,,J’ai trois frères.,,u04_w0006_lf,,,,,
u04_w0007,u04,lf,He has one brother and two sisters.,,Il a un frère et deux sœurs.,,u04_w0007_lf,,,,,
u04_w0008,u04,lf,We have a lot of cousins!,,On a un tas de cousins!,"""On a beaucoup de cousins!""",u04_w0008_lf,,,,,
u04_w0009,u04,lf,Do you have a dollar?,,T’as une piastre?,,u04_w0009_lf,,,,,
u04_w0010,u04,lf,Do you have a minute?,,T'as une minute?,,u04_w0010_lf,,,,,
u04_w0011,u04,lf,Y’all have a lot of money!,,Vous-autres a un tas d’argent!,,u04_w0011_lf,,,,,
u04_w0012,u04,lf,I’m hot!,,J’ai chaud!,,u04_w0012_lf,,,Y,"Literally: ""I have hot!""",
u04_w0013,u04,lf,Are you cold?,,T’as froid?,,u04_w0013_lf,,,Y,"Literally: ""You have cold?""",
u04_w0014,u04,lf,Watch out! It’s hot.,,Attention! C’est chaud.,,u04_w0014_lf,,,Y,"When something is hot or cold to the touch, use être.",
u04_w0015,u04,lf,I'm thirsty.,,J'ai soif.,,u04_w0015_lf,,,,,
u04_w0016,u04,lf,I have a dog.,,J’ai un chien.,,u04_w0016_lf,,,,,
u04_w0017,u04,lf,My dog is thirsty.,,Mon chien a soif.,,u04_w0017_lf,,,Y,"Literally: ""My dog has thirst.""",
u04_w0018,u04,lf,Are y’all hot?,,Vous-autres a chaud?,,u04_w0018_lf,,,,,
u04_w0019,u04,lf,She’s always cold.,,Elle a tout le temps froid.,,u04_w0019_lf,,,,,
u04_w0020,u04,lf,I’m always hungry.,,J’ai tout le temps faim.,"""J'ai toujours faim.""",u04_w0020_lf,,,,,
u04_w0021,u04,lf,My child is scared of the dark.,,Mon enfant a peur du noir.,,,u04_w0021_lf,,,,
u04_w0022,u04,lf,We are scared of snakes.,,On a peur des serpents.,,u04_w0022_lf,,,,,
u04_w0023,u04,lf,He needs help.,,On a besoin d’aide.,,u04_w0023_lf,,,,,
u04_w0024,u04,lf,We need to practice.,,On a besoin de pratiquer.,,,u04_w0024_lf,,,,
u04_w0025,u04,lf,Do you need help?,,T’as besoin d’aide?,,,u04_w0025_lf,,,,
u04_w0026,u04,lf,There is…,"""There are...""",Y a…,"""Il y a..."" ""I-n-a...""", u04_w0026_lf,,,Y,"Sometimes written: ""Il y a..."" and some people say: I-n-a..., pronounced: ""ee-na""",
u04_w0027,u04,lf,There’s some coffee in the coffeepot.,,Y a du café dans la grègue.,"""Il y a du café dans la grègue."" ""I-n-a du café dans la grègue.""",u04_w0027_lf,,,,,
u04_w0028,u04,lf,There’s a problem.,,Y a un problème.,"""Il y a un problème."" ""I-n-a un problème.""",u04_w0028_lf,,,,,
u04_w0029,u04,lf,There’s a snake and I’m scared!,,Y a un serpent et j’ai peur!,"""Il y a un serpent et j’ai peur!"" ""I-n-a un serpent et j’ai peur!""",,u04_w0029_lf,,,,
u04_w0030,u04,lf,There are some children at the door.,,Y a des enfants à la porte.,"""Il y a des enfants à la porte."" ""I-n-a des enfants à la porte.""",u04_w0030_lf,,,,,
u05_w0001,u05,lf,to play,,jouer,,u05_w0001_lf,,,,,
u05_w0002,u05,lf,I play,,je joue,,u05_w0002_lf,,,,,
u05_w0003,u05,lf,we play,,on joue,,u05_w0003_lf,,,,,
u05_w0004,u05,lf,Do you play accordion?,,Tu joues de l’accordéon?,"""Tu joues l'accordeon?""",u05_w0004_lf,,,,,
u05_w0005,u05,lf,Your child plays well with others.,,Ton enfant joue bien avec les autres.,,u05_w0005_lf,,,,,
u05_w0006,u05,lf,You speak French well!,,Tu parles bien le français!,"""Tu parles bien français!""",u05_w0006_lf,,,,,
u05_w0007,u05,lf,to love,"""to like""",aimer,,u05_w0007_lf,,,Y,"Means both ""to like"" and ""to love""",
u05_w0008,u05,lf,I love that!,"""I love it!"" ""I like that!"" ""I like it!""",J’aime ça!,,u05_w0008_lf,,,,,
u05_w0009,u05,lf,I don’t like persimmons.,,"J’aime pas les plaquemines, moi!",,u05_w0009_lf,,,,,
u05_w0010,u05,lf,We like to play cards.,"""We like playing cards.""",On aime jouer aux cartes.,,u05_w0010_lf,,,,,
u05_w0011,u05,lf,Do you like speaking French?,"""Do you like to speak French?""",T’aimes parler français?,"""T'aimer parler le français?""",u05_w0011_lf,,,,,
u05_w0012,u05,lf,My dog doesn’t like to be alone.,"""My dog doesn't like to be alone.""",Mon chien aime pas d'être seul.,"""Mon chien aime pas être seul.""",u05_w0012_lf,,,Y,"Sometimes, with être, we add d'",
u05_w0013,u05,lf,to want,,vouloir,,u05_w0013_lf,,,,,
u05_w0014,u05,lf,I want,,je veux,,u05_w0014_lf,,,,,
u05_w0015,u05,lf,he wants,,il veut,,u05_w0015_lf,,,,,
u05_w0016,u05,lf,you want,,tu veux,,u05_w0016_lf,,,,,
u05_w0017,u05,lf,we want,,on veut,,u05_w0017_lf,,,,,
u05_w0018,u05,lf,I want a lot of money!,,Je veux un tas d’argent!,"""Je veux beaucoup d'argent!""",u05_w0018_lf,,,,,
u05_w0019,u05,lf,I want to speak French.,,Je veux parler français.,"""Je veux parler le français.""",u05_w0019_lf,,,,,
u05_w0020,u05,lf,with you,,avec toi,,u05_w0020_lf,,,,,
u05_w0021,u05,lf,with him,,avec lui,,u05_w0021_lf,,,,,
u05_w0022,u05,lf,Do you want to dance with me?,,Tu veux danser avec moi?,,u05_w0022_lf,,,,,
u05_w0023,u05,lf,Do y’all want to play with us?,,Vous-autres veut jouer avec nous-autres?,,u05_w0023_lf,,,,,
u05_w0024,u05,lf,We want to speak with our grandparents.,,On veut parler avec nos grands-parents.,,u05_w0024_lf,,,,,
u05_w0025,u05,lf,You love singing in French.,"""You love to sing in French.""",T’aimes chanter en français.,,u05_w0025_lf,,,,,
u05_w0026,u05,lf,You sing well.,,Tu chantes bien,,u05_w0026_lf,,,,,
u05_w0027,u05,lf,She doesn’t want to dance.,,Elle veut pas danser.,,u05_w0027_lf,,,,,
u05_w0028,u05,lf,I like walking with my dog.,,J’aime marcher avec mon chien.,,u05_w0028_lf,,,,,
u05_w0029,u05,lf,You don’t like asking for help.,,T’aimes pas demander de l’aide.,,u05_w0029_lf,,,,,
u05_w0030,u05,lf,"He doesn’t sing well, but he loves to sing.",,"Il chante pas bien, mais il aime chanter.",,u05_w0030_lf,,,,,
u05_w0031,u05,lf,What does that mean?,,Quoi ça veut dire?,,,u05_w0031_lf,,,Literally: What does that want to say?,
u05_w0032,u05,lf,It means...,"""That means...""",Ça veut dire...,,u05_w0032_lf,,,,,
u05_w0033,u05,lf,I want to dance with you!,,Je veux danser avec toi!,,u05_w0033_lf,,,,,
u05_w0034,u05,lf,Does she want to come with us?,,Elle veut venir avec nous-autres?,,u05_w0034_lf,,,,,
u05_w0035,u05,lf,"Me, I don't want to dance.",,"Moi, je veux pas danser.",,u05_w0035_lf,,,,,
u06_w0001,u06,lf,they are,,ils sont,“eux-autres est” “eusse est”,u06_w0001_lf,,,,,
u06_w0002,u06,lf,they are ,,eux-autres est,“ils sont” “eusse est”,u06_w0002_lf,,,,,
u06_w0003,u06,lf,they are,,eusse est,“eux-autres est” “ils sont”,u06_w0003_lf,,,,,
u06_w0004,u06,lf,They are cousins.,,Ils sont cousins.,“Eux-autres est cousins.” “Eusse est cousins.” “C’est des cousins.”,u06_w0004_lf,,,,,
u06_w0005,u06,lf,They are Catholic.,,Eux-autres est catholiques.,“Ils sont catholiques.” “Eusse est catholiques.” “C’est des catholiques.”,u06_w0005_lf,,,,,
u06_w0006,u06,lf,They aren’t ready.,,Ils sont pas parés.,“Eux-autres est pas parés.” “Eusse est pas parés.”,u06_w0006_lf,,,,,
u06_w0007,u06,lf,They are liars!,,C’est des menteurs!,"“Ils sont des menteurs!” “Eux-autres est des menteurs!” “Eusse est des menteurs!” ""Eusse est menteurs!"" ""Eux-autres est menteurs!"" ""Ils sont menteurs!""",u06_w0007_lf,,,,,
u06_w0008,u06,lf,they have,,ils ont,“eux-autres a” “eusse a” “ça a”,u06_w0008_lf,,,,,
u06_w0009,u06,lf,they have,,eux-autres a,“ils ont” “eusse a” “ça a”,u06_w0009_lf,,,,,
u06_w0010,u06,lf,they have,,eusse a,“eux-autres a” “ils ont” “ça a”,u06_w0010_lf,,,,,
u06_w0011,u06,lf,They have a cat.,,Ils ont un chat.,“Eux-autres a un chat.” “Eusse a un chat.” “Ça a un chat.”,u06_w0011_lf,,,,,
u06_w0012,u06,lf,They have a lot of money.,,Eusse a un tas d’argent.,“Eux-autres a un tas d’argent.” “Ils ont un tas d’argent.” “Ça a un tas d’argent.” “Eux-autres a beaucoup d’argent.” “Ils ont beaucoup d’argent.” “Ça a beaucoup d’argent.”,u06_w0012_lf,,,,,
u06_w0013,u06,lf,They don’t need to work.,,Ils ont pas besoin de travailler.,“Eux-autres a pas besoin de travailler.” “Eusse a pas besoin de travailler.” “Ça a pas besoin de travailler.”,u06_w0013_lf,,,,,
u06_w0014,u06,lf,They are happy now.,,Ils sont contents asteur.,“Eux-autres est contents asteur.” “Eusse est contents asteur.”,u06_w0014_lf,,,,,
u06_w0015,u06,lf,they want,,ils voulont,“ils veulent” “eux-autres veut” “eusse veut” “ça veut”,u06_w0015_lf,,,Y,"You may also hear: ils veulent, pronounced ""vull"" with a silent -ent",
u06_w0016,u06,lf,they want,,eux-autres veut,“ils veulent” “ils voulont” “eusse veut” “ça veut”,u06_w0016_lf,,,,,
u06_w0017,u06,lf,they want,“it wants”,ça veut,“ils veulent” “eux-autres veut” “eusse veut” “ils voulont”,u06_w0017_lf,,,,,
u06_w0018,u06,lf,They want to play.,,Ils voulont jouer.,“Ils veulent jouer.” “Eux-autres veut jouer.” “Eusse veut jouer.” “Ça veut jouer.”,u06_w0018_lf,,,,,
u06_w0019,u06,lf,They want some money.,,Eusse veut de l’argent.,“Ils veulent de l’argent.” “Eux-autres veut de l’argent.” “Ils voulont de l’argent.” “Ça veut de l’argent.”,u06_w0019_lf,,,,,
u06_w0020,u06,lf,They want some coffee.,,Eux-autres veut du café.,“Ils veulent du café.” “Eusse veut du café.” “Ils voulont du café.” “Ça veut du café.”,u06_w0020_lf,,,,,
u06_w0021,u06,lf,They want the truth.,,Ça veut la vérité.,“Ils veulent la vérité.” “Eux-autres veut la vérité.” “Ils voulont la vérité.” “Ils voulont la vérité.”,u06_w0021_lf,,,,,
u06_w0022,u06,lf,They don’t want to sing.,,Ils voulont pas chanter.,“Ils veulent pas chanter.” “Eux-autres veut pas chanter.” “Eusse veut pas chanter.” “Ça veut pas chanter.”,u06_w0022_lf,,,,,
u06_w0023,u06,lf,to be able to,,pouvoir,,u06_w0023_lf,,,,,
u06_w0024,u06,lf,I can,,je peux,,u06_w0024_lf,,,,,
u06_w0025,u06,lf,you can,,tu peux,,u06_w0025_lf,,,,,
u06_w0026,u06,lf,she can,,elle peut,,u06_w0026_lf,,,,,
u06_w0027,u06,lf,they can,,ils pouvont,“ils peuvent”,u06_w0027_lf,,,Y,"You may also hear: ils peuvent, pronounced ""puhv"" with a silent -ent",
u06_w0028,u06,lf,Can y’all come tomorrow?,,Vous-autres peut venir demain?,,u06_w0028_lf,,,,,
u06_w0029,u06,lf,We can wait.,,On peut espérer.,,u06_w0029_lf,,,,,
u06_w0030,u06,lf,They can’t dance.,,Ils pouvont pas danser.,“Ils peuvent pas danser.” “Eux-autres peut pas danser.” “Eusse peut pas danser.” “Ça peut pas danser.”,u06_w0030_lf,,,,,
u06_w0031,u06,lf,You can come in.,,Tu peux entrer.,,u06_w0031_lf,,,,,
u06_w0032,u06,lf,he can,,il peut,,u06_w0032_lf,u06_w0032_lf,,,,
u06_w0033,u06,lf,I can't.,,Je peux pas.,,,u06_w0033_lf,,,,
u06_w0034,u06,lf,Can y'all come back later?,,Vous-autres peut revenir plus tard?,,u06_w0034_lf,,,,,
u06_w0035,u06,lf,We can speak French together.,,On peut parler français ensemble.,,u06_w0035_lf,,,,,
u07_w0001,u07,lf,"to do, to make",,faire,,u07_w0001_lf,,,,,
u07_w0002,u07,lf,"I do, I make",,je fais,,u05_w0001_cajun,u07_w0002_lf,,,,
u07_w0003,u07,lf,"we do, we make",,on fait,,u07_w0003_lf,,,,,
u07_w0004,u07,lf,"you do, you make",,tu fais,,u07_w0004_lf,,,,,
u07_w0005,u07,lf,She makes her bed each morning.,,Elle fait son lit chaque matin.,,u07_w0005_lf,,,,,
u07_w0006,u07,lf,"they do, they make",,ils font,"""eux-autres fait"" ""eusse fait"" ""ça fait""",u07_w0006_lf,u07_w0006_lf,,,,
u07_w0007,u07,lf,She makes a good gumbo.,,Elle fait un bon gombo.,,u07_w0007_lf,u07_w0007_lf,,,,
u07_w0008,u07,lf,Can you make supper tonight?,,Tu peux faire le souper ce soir?,"""Tu peux faire le souper à soir?""",u07_w0008_lf,,,,,
u07_w0009,u07,lf,to garden,,faire le jardin,,u07_w0009_lf,,,,,
u07_w0010,u07,lf,to party,,faire la fête,,u07_w0010_lf,,,,,
u07_w0011,u07,lf,to do laundry,,faire la lessive,"""faire le lavage"" ""laver le linge""",,u07_w0011_lf,,Y,You may also hear: faire le lavage or laver le linge,
u07_w0012,u07,lf,to clean the house,,faire le ménage,,u07_w0012_lf,,,,,
u07_w0013,u07,lf,to sleep in,,faire la grasse matinée,,u07_w0013_lf,,,,,
u07_w0014,u07,lf,to be part of,,faire partie de,,u07_w0014_lf,,,,,
u07_w0015,u07,lf,It’s part of our heritage.,,Ça fait partie de notre héritage.,,,u07_w0015_lf,,,,
u07_w0016,u07,lf,Stop doing that!,,Arrête de faire ça!,,u07_w0016_lf,,,,,
u07_w0017,u07,lf,It hurts!,,Ça fait mal!,,u07_w0017_lf,,,,,
u07_w0018,u07,lf,My brother sleeps in.,,Mon frère fait la grasse matinée.,,,u07_w0018_lf,,,,
u07_w0019,u07,lf,They party all summer.,,Ils font la fête tout l’été.,,u07_w0019_lf,,,,,
u07_w0020,u07,lf,"In the spring, my father gardens.",,"Au printemps, mon père fait le jardin.",,u07_w0020_lf,,,,,
u07_w0021,u07,lf,What’s the weather today?,,Quel temps ça fait aujourd’hui?,,u07_w0021_lf,,,,,
u07_w0022,u07,lf,It’s hot!,,Ça fait chaud!,"""Il fait chaud!""",u07_w0022_lf,,,Y,You may also hear: Il fait chaud!,
u07_w0023,u07,lf,It’s cold!,,Ça fait froid!,"""Il fait froid!""",u07_w0023_lf,u07_w0023_lf,,Y,You may also hear: Il fait froid!,
u07_w0024,u07,lf,The weather is nice today.,,Ça fait beau aujourd’hui.,"""Il fait beau aujourd'hui!""",u05_w0024_cajun,u07_w0024_lf,,Y,You may also hear: Il fait beau...,
u07_w0025,u07,lf,the rain,,la pluie,,u07_w0025_lf,,,,,
u07_w0026,u07,lf,to rain,,mouiller,,u07_w0026_lf,,,,,
u07_w0027,u07,lf,It’s raining.,,Ça mouille.,"""C'est après mouiller."" ""La pluie tombe."" ""Il pleut."" ""Il mouille.""",,u07_w0027_lf,,Y,You may also hear: Il pleut or La pluie tombe,
u07_w0028,u07,lf,It doesn’t rain a lot in October.,,Ça mouille pas beaucoup en octobre.,"""Ça mouille pas un tas en octobre.""",,u07_w0028_lf,,,,
u07_w0029,u07,lf,There’s a nice breeze.,,Y a une bonne fraîche.,"""Il y a une bonne fraîche."" ""Y a une bonne brise."" ""Il y a une bonne brise."" ""I-n-a une bonne fraîche."" ""I-n-a une bonne brise.""",u07_w0029_lf,,,Y,"You may also hear une brise for ""a breeze""",
u07_w0030,u07,lf,There’s a hurricane in the Gulf.,,Y a un ouragan dans le Golfe.,"""Il y a un ouragan dans le Golfe."" ""I-n-a un ouragan dans le Golfe.""",u07_w0030_lf,,,,,
u07_w0031,u07,lf,He does his best.,,Il fait son mieux.,,,u07_w0031_lf,,,,
u07_w0032,u07,lf,We want to make a gumbo.,,On veut faire un gombo.,,,u07_w0032_lf,,,,
